149,LIT,JAD,RWN,QCJ,BTR,MD11,->,LIT,RWN,JAD,QCJ,BTR,LIT,21154.63
150,NNB,LNK,LWY,ZQF,MLU,MD11,->,NNB,LWY,ZQF,LNK,MLU,NNB,21866.82
151,MRB,ZTB,SDV,BOU,HKK,MD11,->,MRB,HKK,SDV,BOU,ZTB,MRB,22127.42
152,MLB,TMP,MSH,XBG,OMN,MD11,->,MLB,TMP,MSH,XBG,OMN,MLB,31441.1
153,PAP,MYR,MIA,DZA,PDB,MD11,->,PAP,DZA,PDB,MYR,MIA,PAP,34779.62
154,SNU,DUM,LKH,QYD,FZG,MD11,->,SNU,FZG,QYD,DUM,LKH,SNU,4023.04
155,KND,SBM,KFS,LTO,LLW,MD11,->,KND,KFS,LTO,SBM,LLW,KND,5300.3
156,TIJ,LYG,WWK,XEG,HAE,MD11,->,TIJ,XEG,HAE,LYG,WWK,TIJ,5439.18
157,CUN,STB,DKS,GVA,CBO,MD11,->,CUN,STB,CBO,DKS,GVA,CUN,5717.9
158,ZXB,MMB,HRT,BUU,GOB,MD11,->,ZXB,BUU,HRT,MMB,GOB,ZXB,7734.36
159,ZFA,URG,PUZ,INT,ZIH,MD11,->,ZFA,ZIH,URG,PUZ,INT,ZFA,8411.09
160,THS,IQN,MWH,BWO,SMT,MD11,->,THS,BWO,MWH,SMT,IQN,THS,9214.24
161,SDN,BAL,BLT,PSI,RUA,MD11,->,SDN,PSI,BLT,RUA,BAL,SDN,9669.76
162,MTS,SUV,KLW,HID,PMK,737,->,,,,,,,
163,EWK,PNY,YYZ,SZS,SVL,737,->,,,,,,,
164,ZKG,PEK,TXK,KRL,OAR,737,->,,,,,,,
165,LPU,CYW,E25,OOM,AWZ,737,->,,,,,,,
166,YZF,HHA,YGL,GSQ,SHC,737,->,,,,,,,
167,NSI,ZYR,MRK,MCW,ALO,737,->,,,,,,,
168,EEK,UTT,ZVE,OHD,ALH,737,->,,,,,,,
169,YEG,SYH,YXN,HUW,IAN,737,->,,,,,,,
170,LDI,LIG,TCA,HCQ,BZB,737,->,,,,,,,
171,TXG,PGU,SST,LUO,YIV,737,->,,,,,,,
172,PIN,PMO,APN,HDO,WOL,737,->,,,,,,,
173,TUI,AXU,YCM,SAV,25D,737,->,,,,,,,
174,TLE,IDR,NZC,BIQ,JSI,737,->,,,,,,,
175,YOL,BPS,NML,GTA,KUS,737,->,,,,,,,
176,BBS,SRN,LPD,YBC,SLA,737,->,,,,,,,
177,RFP,YFO,KEN,BLD,HYA,737,->,,,,,,,
178,QUA,LEA,SVU,FME,GRU,737,->,,,,,,,
179,KUG,AWA,ACT,NHT,MAQ,737,->,,,,,,,
180,CXP,SMQ,EAE,MKS,TMU,737,->,,,,,,,
181,LAY,HTS,HKT,ANI,YVC,737,->,,,,,,,
182,NIC,HKK,POI,PQS,MCZ,737,->,,,,,,,
183,OSS,CDU,KSC,LGQ,SZF,737,->,,,,,,,
184,ZJN,VAR,ZRA,HLA,YHM,757,->,,,,,,,
185,MVZ,ELV,YGL,KAX,XMU,757,->,,,,,,,
186,EUX,AKS,RZR,ZYL,ZHY,757,->,,,,,,,
187,RBD,WUN,YHK,YZZ,COR,757,->,,,,,,,
188,IBE,UCT,LGL,IQQ,PMG,757,->,,,,,,,
